Disease	Total_Genes	Seed_Genes	Subsystems	Subsystems_Aligned_to_GO	NDEx_URL	HiView_URL
jakob_creutzfeldt_disease	447	2	191	92	http://dev2.ndexbio.org/v2/network/fae79bf3-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/fae79bf3-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
porokeratosis_of_mibelli	22	2	7	3	http://dev2.ndexbio.org/v2/network/272fab40-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/272fab40-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
congenital_mirror_movements__cmm_	345	2	134	55	http://dev2.ndexbio.org/v2/network/b6c6ec98-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b6c6ec98-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
xeroderma_pigmentosum__complementation_group_a	10	2	5	0	http://dev2.ndexbio.org/v2/network/5705c322-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/5705c322-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
piebald_trait	341	2	114	51	http://dev2.ndexbio.org/v2/network/4ac79b39-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4ac79b39-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
basal_cell_nevus_syndrome__nevoid_basal_cell_carcinoma_syndrome__gorlin_syndrome	484	3	245	30	http://dev2.ndexbio.org/v2/network/215b6e16-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/215b6e16-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
congenital_myopathy	3	2	1	1	http://dev2.ndexbio.org/v2/network/1534c60d-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/1534c60d-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
activated_protein_c_resistance	31	2	11	5	http://dev2.ndexbio.org/v2/network/2436e510-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2436e510-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hepatorenal_syndrome	89	2	31	7	http://dev2.ndexbio.org/v2/network/d917b74f-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d917b74f-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
ichthyosis__congenital__autosomal_recessive_2	3	3	1	1	http://dev2.ndexbio.org/v2/network/01afb630-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/01afb630-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
van_maldergem_syndrome	2	2	1	1	http://dev2.ndexbio.org/v2/network/2a8c6a9e-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2a8c6a9e-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
juvenile_or_adult_cach_syndrome	5	5	1	1	http://dev2.ndexbio.org/v2/network/24544603-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/24544603-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
intermittent_maple_syrup_urine_disease	4	3	1	1	http://dev2.ndexbio.org/v2/network/0eca3483-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/0eca3483-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
neoplasms__hormone_dependent	3	3	2	0	http://dev2.ndexbio.org/v2/network/79264b93-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/79264b93-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
werner_syndrome	266	2	132	61	http://dev2.ndexbio.org/v2/network/ac669ad9-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ac669ad9-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
epidermolysis_bullosa_simplex__autosomal_recessive	2	2	1	1	http://dev2.ndexbio.org/v2/network/700844f2-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/700844f2-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
megaepiphyseal_dwarfism	3	2	1	1	http://dev2.ndexbio.org/v2/network/52e69333-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/52e69333-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
congenital_hypoplastic_anemia	417	2	145	77	http://dev2.ndexbio.org/v2/network/5dc101ce-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/5dc101ce-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
eosinophilic_granulomatosis_with_polyangiitis__churg_strauss_syndrome	277	2	114	65	http://dev2.ndexbio.org/v2/network/8ea72ac9-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/8ea72ac9-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
invasive_pneumococcal_disease__recurrent_isolated__1	2	2	1	1	http://dev2.ndexbio.org/v2/network/11c09107-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/11c09107-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
chondroma	2	2	1	1	http://dev2.ndexbio.org/v2/network/1a993c99-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/1a993c99-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
myotonia_congenita	30	2	11	3	http://dev2.ndexbio.org/v2/network/7ae73500-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/7ae73500-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
deafness__autosomal_dominant_3a	5	2	3	0	http://dev2.ndexbio.org/v2/network/4c792da6-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4c792da6-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
palmoplantar_keratoderma__epidermolytic	11	3	2	0	http://dev2.ndexbio.org/v2/network/9a916ffc-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/9a916ffc-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
epidermolysis_bullosa_junctionalis_with_pyloric_atresia	7	3	3	0	http://dev2.ndexbio.org/v2/network/edffbbe0-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/edffbbe0-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
parietal_foramina	300	2	133	42	http://dev2.ndexbio.org/v2/network/d7340d19-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d7340d19-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
epidermolytic_palmoplantar_keratoderma__eppk_	22	2	5	2	http://dev2.ndexbio.org/v2/network/75569b4c-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/75569b4c-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
estrogen_resistance	60	2	18	4	http://dev2.ndexbio.org/v2/network/7fb52ce0-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/7fb52ce0-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hypocalcemic_vitamin_d_dependent_rickets	32	2	8	5	http://dev2.ndexbio.org/v2/network/18783b72-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/18783b72-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
frontometaphyseal_dysplasia	110	2	51	21	http://dev2.ndexbio.org/v2/network/c9079fe5-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/c9079fe5-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
pachyonychia_congenita_type_2	31	2	6	3	http://dev2.ndexbio.org/v2/network/9b865784-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/9b865784-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
leukodystrophy__hypomyelinating__7__with_or_without_oligodontia_and_or_hypogonadotropic_hypogonadism	4	2	1	1	http://dev2.ndexbio.org/v2/network/4ddc7244-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4ddc7244-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
melas_syndrome__mitochondrial_myopathy__encephalopathy__lactic_acidosis__stroke_like_episodes	2	2	1	0	http://dev2.ndexbio.org/v2/network/4cc3882c-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4cc3882c-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cockayne_syndrome	2	2	1	1	http://dev2.ndexbio.org/v2/network/d9de098c-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d9de098c-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
meningitis	96	3	30	22	http://dev2.ndexbio.org/v2/network/66366c2d-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/66366c2d-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
acne_inversa__hidradenitis_suppurativa	6	3	1	1	http://dev2.ndexbio.org/v2/network/21e665c4-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/21e665c4-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
atrial_fibrillation__familial__3	3	2	1	1	http://dev2.ndexbio.org/v2/network/4c249b23-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4c249b23-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
high_bone_mass_osteogenesis_imperfecta	2	2	1	1	http://dev2.ndexbio.org/v2/network/e3406c76-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/e3406c76-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
microphthalmia__isolated__with_coloboma_6	25	2	7	5	http://dev2.ndexbio.org/v2/network/6992b71f-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6992b71f-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
familial_primary_localized_cutaneous_amyloidosis	2	2	1	1	http://dev2.ndexbio.org/v2/network/bd4892be-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/bd4892be-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
multiple_exostoses	2	2	1	1	http://dev2.ndexbio.org/v2/network/6c1f06b5-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6c1f06b5-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bartter_syndrome__type_4b	2	2	1	1	http://dev2.ndexbio.org/v2/network/6cabef7c-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6cabef7c-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hodgkin_lymphoma	386	6	141	82	http://dev2.ndexbio.org/v2/network/6f0a8ec0-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6f0a8ec0-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
optic_atrophy_9	193	2	74	20	http://dev2.ndexbio.org/v2/network/98b6bd17-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/98b6bd17-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
klippel_feil_syndrome_kfs_	25	2	7	5	http://dev2.ndexbio.org/v2/network/3bbe6295-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/3bbe6295-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
nodulosis_arthropathy_osteolysis_syndrome	3	2	1	1	http://dev2.ndexbio.org/v2/network/898063b4-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/898063b4-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
anon1	194	2	71	34	http://dev2.ndexbio.org/v2/network/455bd962-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/455bd962-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
benign_epilepsy_with_centrotemporal_spikes	169	3	54	31	http://dev2.ndexbio.org/v2/network/7e05501a-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/7e05501a-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
familial_cerebral_cavernous_malformation	4	3	3	0	http://dev2.ndexbio.org/v2/network/eb418718-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/eb418718-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
familial_hemophagocytic_lymphohistiocytosis	222	4	89	43	http://dev2.ndexbio.org/v2/network/ae9636e6-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ae9636e6-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
myasthenic_syndrome__congenital__21__presynaptic	11	2	6	2	http://dev2.ndexbio.org/v2/network/7506fe9e-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/7506fe9e-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
late_infantile_cach_syndrome	5	5	1	1	http://dev2.ndexbio.org/v2/network/4babd68e-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4babd68e-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
persistent_fetal_circulation_syndrome	43	2	14	7	http://dev2.ndexbio.org/v2/network/0e7d7ef2-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/0e7d7ef2-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
isolated_focal_cortical_dysplasia_type_iib	240	2	93	36	http://dev2.ndexbio.org/v2/network/49c933b5-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/49c933b5-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
osteogenesis_imperfecta_type_1	2	2	1	1	http://dev2.ndexbio.org/v2/network/8eea7f58-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/8eea7f58-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
fanconi_syndrome	152	2	36	22	http://dev2.ndexbio.org/v2/network/b164e721-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b164e721-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bronchiectasis_with_or_without_elevated_sweat_chloride	4	3	1	1	http://dev2.ndexbio.org/v2/network/91287411-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/91287411-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
autosomal_recessive_limb_girdle_muscular_dystrophy_type_2h	312	2	135	49	http://dev2.ndexbio.org/v2/network/d5f7f669-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d5f7f669-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
myoclonic_epilepsy_of_lafora	3	2	1	1	http://dev2.ndexbio.org/v2/network/758dbad9-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/758dbad9-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
familial_porencephaly	2	2	1	1	http://dev2.ndexbio.org/v2/network/94702f4d-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/94702f4d-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
intermediate_spinal_muscular_atrophy	498	2	202	73	http://dev2.ndexbio.org/v2/network/252f20cd-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/252f20cd-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
factor_xiii_deficiency	2	2	1	1	http://dev2.ndexbio.org/v2/network/86954779-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/86954779-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
chondrodysplasia__grebe_type	3	2	2	1	http://dev2.ndexbio.org/v2/network/c8a1f573-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/c8a1f573-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
miller_dieker_lissencephaly_syndrome	113	2	41	17	http://dev2.ndexbio.org/v2/network/70c66f28-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/70c66f28-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
activated_pi3k_delta_syndrome	3	2	2	2	http://dev2.ndexbio.org/v2/network/25c6ad0e-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/25c6ad0e-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
desmoid_type_fibromatosis	3	2	1	1	http://dev2.ndexbio.org/v2/network/372d3746-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/372d3746-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hepatitis_b_virus__susceptibility_to	7	3	3	0	http://dev2.ndexbio.org/v2/network/cb8f5c78-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/cb8f5c78-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
glanzmann_thrombasthenia	4	2	1	1	http://dev2.ndexbio.org/v2/network/bf86ea3c-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/bf86ea3c-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
diamond_blackfan_anemia__dba_	101	8	19	7	http://dev2.ndexbio.org/v2/network/34efa2fc-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/34efa2fc-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
pharynx_cancer	6	2	3	1	http://dev2.ndexbio.org/v2/network/bb908d2b-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/bb908d2b-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
glc3b	115	2	33	21	http://dev2.ndexbio.org/v2/network/bf340f45-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/bf340f45-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
age_related_macular_degeneration_14	5	2	3	0	http://dev2.ndexbio.org/v2/network/21fa3bec-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/21fa3bec-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cutaneous_leishmaniasis	463	7	170	87	http://dev2.ndexbio.org/v2/network/1af52256-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/1af52256-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
behr_syndrome	78	2	39	5	http://dev2.ndexbio.org/v2/network/78fdc661-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/78fdc661-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
familial_erythrocytosis_1	264	3	112	48	http://dev2.ndexbio.org/v2/network/d13a2a5b-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d13a2a5b-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
infantile_myofibromatosis	19	2	10	2	http://dev2.ndexbio.org/v2/network/090b9076-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/090b9076-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
subependymal_giant_cell_astrocytoma__sega_	2	2	1	1	http://dev2.ndexbio.org/v2/network/0fea7bc9-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/0fea7bc9-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
metachromatic_leukodystrophy__late_infantile_form	73	2	20	12	http://dev2.ndexbio.org/v2/network/60d7c21d-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/60d7c21d-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
severe_intellectual_disability_and_progressive_spastic_paraplegia	4	4	1	1	http://dev2.ndexbio.org/v2/network/2abc062d-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2abc062d-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
idiopathic_bronchiectasis	353	4	135	61	http://dev2.ndexbio.org/v2/network/6acb5e52-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6acb5e52-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
chromosome_breakage	426	4	142	74	http://dev2.ndexbio.org/v2/network/31e1ee3c-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/31e1ee3c-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hereditary_combined_deficiency_of_vitamin_k_dependent_clotting_factors	70	2	29	10	http://dev2.ndexbio.org/v2/network/dc05aee6-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/dc05aee6-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
rhabdoid_predisposition_syndrome__rps_	2	2	1	1	http://dev2.ndexbio.org/v2/network/e4efad6f-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/e4efad6f-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
water_intoxication	64	2	12	8	http://dev2.ndexbio.org/v2/network/424c218a-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/424c218a-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
palmoplantar_keratoderma__nonepidermolytic__focal	2	2	1	1	http://dev2.ndexbio.org/v2/network/9b87de26-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/9b87de26-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
ullrich_congenital_muscular_dystrophy	7	4	2	1	http://dev2.ndexbio.org/v2/network/210218e3-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/210218e3-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
gaucher_disease	2	2	1	1	http://dev2.ndexbio.org/v2/network/c884b432-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/c884b432-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
pyridoxine_refractory_autosomal_recessive_sideroblastic_anemia	44	2	23	6	http://dev2.ndexbio.org/v2/network/d6220187-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d6220187-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cold_induced_sweating_syndrome__ciss__and_crisponi_syndrome__crisps_	2	2	1	1	http://dev2.ndexbio.org/v2/network/d9217034-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d9217034-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
severe_cutaneous_adverse_reaction__susceptibility_to	4	2	2	0	http://dev2.ndexbio.org/v2/network/fa58a228-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/fa58a228-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
primary_microcephaly_mild_intellectual_disability_young_onset_diabetes_syndrome	413	2	197	26	http://dev2.ndexbio.org/v2/network/20e17173-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/20e17173-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
phosphoenolpyruvate_carboxykinase_deficiency	2	2	1	1	http://dev2.ndexbio.org/v2/network/bafde9fc-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/bafde9fc-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
eosinophilia_myalgia_syndrome	3	2	1	1	http://dev2.ndexbio.org/v2/network/7d1a370e-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/7d1a370e-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hypokalemic_periodic_paralysis__hypopp_	2	2	1	1	http://dev2.ndexbio.org/v2/network/f682b0ef-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/f682b0ef-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
gaucher_disease__type_1	2	2	1	1	http://dev2.ndexbio.org/v2/network/ebbcd0a4-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ebbcd0a4-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bronchiectasis	40	3	10	4	http://dev2.ndexbio.org/v2/network/9296826b-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/9296826b-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
immunodeficiency_due_to_a_late_component_of_complement_deficiency	7	7	3	0	http://dev2.ndexbio.org/v2/network/36cbc10e-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/36cbc10e-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
retinitis_pigmentosa_deafness_syndrome	208	2	81	2	http://dev2.ndexbio.org/v2/network/f8f764da-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/f8f764da-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
baraitser_winter_syndrome	2	2	1	1	http://dev2.ndexbio.org/v2/network/56806e8b-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/56806e8b-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
autosomal_dominant_polycystic_kidney_disease	116	2	50	28	http://dev2.ndexbio.org/v2/network/50181ca1-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/50181ca1-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hepatocellular_fibrolamellar_carcinoma	62	2	32	16	http://dev2.ndexbio.org/v2/network/d08706e5-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d08706e5-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
chromosome_22q11_2_deletion_syndrome__distal	36	3	21	7	http://dev2.ndexbio.org/v2/network/7a534f6c-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/7a534f6c-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
spinal_muscular_atrophy__type_3	498	2	202	76	http://dev2.ndexbio.org/v2/network/d76adfbf-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d76adfbf-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
congenital_nephrogenic_diabetes_insipidus__ndi_	24	2	13	5	http://dev2.ndexbio.org/v2/network/08adae3d-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/08adae3d-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
